transaction_id,order_id,transaction_date,store_id,product_id,quantity,unit_price,discount_rate,unit_cost
TXN023759,ORD050324,2024-01-01,S025,P027,2,350.47,0.012,215.0
TXN065854,ORD028161,2024-01-01,S011,P008,5,152.34,0.0321,104.3
TXN058246,ORD040250,2024-01-01,S001,P013,1,124.06,0.0336,67.19
TXN035878,ORD013796,2024-01-01,S014,P023,2,162.92,0.0202,107.53
TXN000662,ORD001025,2024-01-01,S006,P011,1,221.58,0.0235,144.62
TXN069154,ORD032783,2024-01-01,S005,P017,1,46.7,0.0406,23.71
TXN050599,ORD006835,2024-01-01,S006,P023,1,160.26,0.0297,105.24
TXN015548,ORD061212,2024-01-01,S006,P029,1,256.39,0.0289,161.27
TXN084795,ORD005344,2024-01-01,S011,P018,1,55.92,0.0435,28.39
TXN095967,ORD009671,2024-01-01,S024,P011,1,226.02,0.0228,144.73
TXN094966,ORD032393,2024-01-01,S024,P013,3,122.32,0.0065,68.07
TXN054999,ORD015023,2024-01-01,S015,P030,2,155.59,0.0119,104.55
TXN081028,ORD019132,2024-01-01,S025,P013,5,126.52,0.0101,66.29
TXN035930,ORD013796,2024-01-01,S014,P017,2,45.66,0.0223,22.95
TXN029410,ORD028161,2024-01-01,S011,P006,1,155.51,0.0491,91.15
TXN037218,ORD061212,2024-01-01,S006,P015,2,60.45,0.007,29.11
TXN012251,ORD043327,2024-01-01,S025,P021,1,108.97,0.0211,71.15
TXN019886,ORD021581,2024-01-01,S006,P010,4,248.27,0.0155,155.29
TXN069882,ORD005924,2024-01-01,S004,P030,2,154.43,0.0125,106.23
TXN014452,ORD058177,2024-01-01,S023,P029,4,250.46,0.0341,163.47
TXN099382,ORD023320,2024-01-01,S008,P026,2,164.94,0.0279,111.67
TXN041034,ORD025299,2024-01-01,S017,P010,1,246.31,0.0213,158.41
TXN042616,ORD048595,2024-01-01,S015,P004,1,246.09,0.0283,147.58
TXN008414,ORD022973,2024-01-01,S017,P011,1,227.69,0.0274,147.78
TXN015706,ORD061212,2024-01-01,S006,P016,1,144.57,0.0032,64.57
TXN070596,ORD047557,2024-01-01,S023,P011,2,221.34,0.0121,147.1
TXN005373,ORD023342,2024-01-01,S014,P022,2,132.77,0.0531,97.95
TXN081055,ORD062521,2024-01-01,S025,P013,1,125.57,0.0018,65.5
TXN060613,ORD002684,2024-01-01,S019,P026,1,170.74,0.0177,113.95
TXN082855,ORD017149,2024-01-01,S003,P026,1,168.05,0.0511,114.2
TXN014804,ORD013796,2024-01-01,S014,P017,1,45.39,0.0594,22.41
TXN006986,ORD034951,2024-01-01,S022,P004,1,239.07,0.0223,144.25
TXN071168,ORD004446,2024-01-01,S003,P028,3,325.87,0.011,200.54
TXN092783,ORD048706,2024-01-01,S024,P027,1,346.97,0.002,215.13
TXN082134,ORD056206,2024-01-01,S001,P017,4,45.93,0.0256,23.59
TXN053596,ORD053932,2024-01-01,S003,P013,3,124.79,0.0,67.9
TXN088704,ORD015710,2024-01-01,S020,P017,1,46.83,0.0004,23.21
TXN092690,ORD053580,2024-01-01,S008,P011,1,227.95,0.0333,143.34
TXN014761,ORD040250,2024-01-01,S001,P005,1,90.44,0.0054,59.07
TXN072834,ORD049768,2024-01-01,S006,P010,1,250.77,0.0325,157.62
TXN017078,ORD016014,2024-01-01,S017,P030,4,155.15,0.0343,103.65
TXN028788,ORD000962,2024-01-01,S008,P022,1,137.47,0.0101,94.29
TXN053562,ORD023342,2024-01-01,S014,P010,5,247.66,0.0331,159.19
TXN088768,ORD020407,2024-01-01,S001,P011,5,224.06,0.0488,148.59
TXN078962,ORD050372,2024-01-01,S014,P022,2,137.94,0.019,92.85
TXN047486,ORD062521,2024-01-01,S025,P030,2,154.65,0.0379,102.64
TXN062297,ORD048595,2024-01-01,S015,P021,3,111.04,0.0101,70.65
TXN047453,ORD045229,2024-01-01,S013,P005,4,91.64,0.0542,59.65
